Module,CS & ML,ML,Type
Supervised Learning,TRUE,TRUE,Core
Statistical Modelling and Data Analysis,TRUE,FALSE,Core
Graphical Models,TRUE,TRUE,Group One
Probabilistic and Unsupervised Learning,TRUE,TRUE,Group One
Advanced Deep Learning and Reinforcement Learning,TRUE,TRUE,Group Two
Advanced Topics in Machine Learning,TRUE,TRUE,Group Two
Applied Machine Learning,TRUE,TRUE,Group Two
Approximate Inference and Learning in Probabilistic Models,TRUE,TRUE,Group Two
Information Retrieval and Data Mining,TRUE,TRUE,Group Two
Introduction to Deep Learning,TRUE,TRUE,Group Two
Machine Vision,TRUE,TRUE,Group Two
Statistical Natural Language Processing,TRUE,TRUE,Group Two
Applied Bayesian Methods,TRUE,FALSE,Group Three
Statistical Design of Investigations,TRUE,FALSE,Group Three
Statistical Inference,TRUE,FALSE,Group Three
Affective Computing and Human-Robot Interaction,FALSE,TRUE,Group Two
Bioinformatics,FALSE,TRUE,Group Two
Programming and Mathematical Methods for Machine Learning,FALSE,TRUE,Group Two
